"Batch Summary",,,,,,,,,,,,,,,,,,,,
"Batch","Dummy_project_name","collected on","05-Mar-20","at","09:29","using instrument","NH029","with","Stable 1.71.6","Reanalyzed on","09-Mar-20","at","16:14","using instrument","NH029","with","Stable 1.71.6",,,
,,,,,,,,,,,,,,,,,,,,
"No","Type","Name","Weight","Time","File","Sam Area(28)  ","Sam           ","Raw Delta(29) ","Delta(15)     ","Sam Area(44)  ","Sam           ","Delta(13)     ","Delta(18)     ","N(%)","C(%)","Corrected     ","Corrected     ","Corrected     ","Delta N2","Delta CO2"
" "," "," "," "," ","Name",,"Ht(nA)(28)    ",,"wrt Air       ",,"Ht(nA)(44)    ","wrt PDB       ","wrt PDB       ",,,"Delta(15)     ","Delta(13)     ","Delta(18)     ","wrt Std","wrt Std"
" "," "," "," "," ",,,,,,,,,,,,"wrt Air       ","wrt PDB       ","wrt PDB       ",,
,,,,,,,,,,,,,,,,,,,,
1,"Sam"," bla",1," 04 March 2020 12:15","This is a dummy file name!","4.40E-10","2.58E-02",-6.5791,-9.5594,"2.61E-11",0.0034,-130.27,-109.96,0.04,0.01,-8.01,-103.42,-105.04,"False         ","False         "
2,"Sam"," IAEA 600",0.832," 04 March 2020 12:24","This is a dummy file name!","2.98E-07","2.09E+01",4.1828,1.1703,"1.59E-07",5.8208,-27.65,-1.71,29.25,49.18,2.72,-0.8,3.27,"False         ","False         "
3,"Ref"," BBOT_CN.",0.966," 04 March 2020 12:33","This is a dummy file name!","7.69E-08","5.49E+00",2.6158,-0.3921,"2.71E-07",9.2143,-25.86,-3.75,6.5,72.3,1.16,0.99,1.29,"False         ","False         "
4,"Ref"," BBOT_CN.",0.916," 04 March 2020 12:43","This is a dummy file name!","7.31E-08","5.22E+00",2.4766,-0.5309,"2.57E-07",8.8371,-25.86,-3.77,6.51,72.22,1.02,0.99,1.33,"False         ","False         "
5,"Ref"," BBOT_CN.",0.951," 04 March 2020 12:52","This is a dummy file name!","7.61E-08","5.44E+00",2.5017,-0.5058,"2.69E-07",9.1824,-25.86,-4.11,6.53,72.9,1.04,1,1.05,"False         ","False         "
6,"Ref"," BBOT_CN.",0.921," 04 March 2020 13:01","This is a dummy file name!","7.39E-08","5.29E+00",2.3036,-0.7033,"2.61E-07",8.9401,-25.85,-4.18,6.55,72.92,0.85,1.01,1.05,"False         ","False         "
7,"Sam"," BLS",4.924," 04 March 2020 13:10","This is a dummy file name!","1.32E-07","1.07E+01",1.0497,-1.9535,"9.79E-07",25.2401,-27.16,-7.98,2.18,51.27,-0.4,-0.3,-2.69,"False         ","False         "
8,"Sam"," BLS",4.838," 04 March 2020 13:19","This is a dummy file name!","1.29E-07","1.05E+01",0.9328,-2.07,"9.62E-07",24.986,-27.17,-8.31,2.18,51.28,-0.52,-0.32,-2.95,"False         ","False         "
9,"Sam",1,4.797," 04 March 2020 13:29","This is a dummy file name!","3.61E-08","2.91E+00",2.2444,-0.7623,"9.12E-07",23.9173,-23.98,-9.58,0.62,49.37,0.84,2.89,-1.94,"False         ","False         "
10,"Sam",2,4.997," 04 March 2020 13:38","This is a dummy file name!","9.55E-08","7.75E+00",1.6055,-1.3993,"9.35E-07",24.4099,-26.31,-8.6,1.56,48.28,0.16,0.55,-3,"False         ","False         "
11,"Sam",3,4.933," 04 March 2020 13:47","This is a dummy file name!","6.84E-08","5.54E+00",1.6845,-1.3205,"9.08E-07",23.7765,-25.79,-8.63,1.13,47.5,0.24,1.07,-2.85,"False         ","False         "
12,"Sam",4,4.661," 04 March 2020 13:56","This is a dummy file name!","2.25E-08","1.79E+00",-0.9031,-3.9003,"8.48E-07",22.6371,-23.99,-9.49,0.4,47.24,-2.29,2.88,-1.55,"False         ","False         "
13,"Sam",5,4.653," 04 March 2020 14:05","This is a dummy file name!","2.47E-08","1.98E+00",-1.5292,-4.5246,"8.62E-07",22.8136,-24.94,-9.35,0.44,48.03,-2.92,1.93,-1.96,"False         ","False         "
14,"Sam",6,4.622," 04 March 2020 14:15","This is a dummy file name!","2.38E-08","1.91E+00",-1.0986,-4.0953,"8.47E-07",22.5911,-25.36,-9.57,0.42,47.57,-2.49,1.51,-1.81,"False         ","False         "
15,"Sam",7,4.915," 04 March 2020 14:24","This is a dummy file name!","7.06E-08","5.73E+00",1.1408,-1.8626,"9.23E-07",24.145,-25.48,-8.74,1.17,48.5,-0.3,1.38,-2.9,"False         ","False         "
16,"Sam",8,4.879," 04 March 2020 14:33","This is a dummy file name!","1.16E-07","9.37E+00",1.2744,-1.7295,"9.28E-07",24.2718,-25.7,-8.74,1.94,49.11,-0.16,1.16,-2.77,"False         ","False         "
17,"Sam",9,4.699," 04 March 2020 14:42","This is a dummy file name!","2.75E-08","2.22E+00",-0.3158,-3.3148,"8.67E-07",23.054,-25.46,-9.43,0.48,47.88,-1.71,1.41,-1.85,"False         ","False         "
18,"Sam",10,4.832," 04 March 2020 14:51","This is a dummy file name!","3.01E-08","2.42E+00",-0.1475,-3.1471,"9.14E-07",23.9659,-25.08,-9.55,0.51,49.15,-1.54,1.8,-1.73,"False         ","False         "
19,"Sam",11,5.004," 04 March 2020 15:01","This is a dummy file name!","7.77E-08","6.29E+00",-0.1624,-3.1619,"9.17E-07",24.0049,-27.3,-8.45,1.27,47.27,-1.6,-0.44,-2.91,"False         ","False         "
20,"Sam"," bla",1," 04 March 2020 15:10","This is a dummy file name!","2.10E-10","1.43E-02",-236.606,-238.8962,"9.44E-11",0.0077,-65.21,-52.02,0.02,0.02,-237.33,-38.35,-45.92,"False         ","False         "
21,"Ref"," BBOT_CN.",0.911," 04 March 2020 15:19","This is a dummy file name!","7.18E-08","5.19E+00",2.4148,-0.5925,"2.53E-07",8.7416,-25.87,-5.79,6.45,71.9,0.98,1,0.36,"False         ","False         "
22,"Ref"," BBOT_CN.",0.967," 04 March 2020 15:28","This is a dummy file name!","7.66E-08","5.58E+00",2.3293,-0.6777,"2.71E-07",9.2156,-25.85,-5.54,6.49,72.55,0.9,1.02,0.67,"False         ","False         "
23,"Sam"," BLS",4.732," 04 March 2020 15:37","This is a dummy file name!","1.25E-07","1.01E+01",1.0058,-1.9972,"9.41E-07",24.5325,-27.15,-8.88,2.15,51.42,-0.42,-0.29,-2.6,"False         ","False         "
24,"Sam"," BLS",4.975," 04 March 2020 15:47","This is a dummy file name!","1.31E-07","1.07E+01",0.9208,-2.082,"9.90E-07",25.4796,-27.14,-9.18,2.15,51.46,-0.51,-0.28,-2.85,"False         ","False         "
25,"Sam",12,4.929," 04 March 2020 15:56","This is a dummy file name!","5.42E-08","4.39E+00",2.0698,-0.9365,"9.39E-07",24.4497,-24.41,-9.07,0.9,49.27,0.64,2.45,-2.54,"False         ","False         "
26,"Sam",13,4.95," 04 March 2020 16:05","This is a dummy file name!","4.07E-08","3.27E+00",1.338,-1.666,"9.22E-07",24.0868,-24.41,-8.93,0.67,48.22,-0.08,2.45,-2.35,"False         ","False         "
27,"Sam",14,4.962," 04 March 2020 16:14","This is a dummy file name!","5.37E-08","4.34E+00",-0.9813,-3.9784,"8.98E-07",23.6954,-27.29,-8.16,0.88,46.66,-2.42,-0.43,-2.75,"False         ","False         "
28,"Sam",15,4.623," 04 March 2020 16:23","This is a dummy file name!","3.72E-08","2.97E+00",0.2128,-2.7879,"8.99E-07",23.6357,-25.44,-9.52,0.66,50.53,-1.18,1.43,-1.64,"False         ","False         "
29,"Sam",16,4.711," 04 March 2020 16:33","This is a dummy file name!","3.41E-08","2.73E+00",2.1484,-0.8581,"8.99E-07",23.6294,-23.94,-9.56,0.6,49.51,0.75,2.93,-1.86,"False         ","False         "
30,"Sam",17,4.962," 04 March 2020 16:42","This is a dummy file name!","7.31E-08","5.90E+00",0.99,-2.013,"9.74E-07",25.1705,-25.49,-8.98,1.21,50.77,-0.43,1.37,-2.52,"False         ","False         "
31,"Sam",18,4.939," 04 March 2020 16:51","This is a dummy file name!","2.69E-08","2.17E+00",-2.4251,-5.4178,"9.28E-07",24.2751,-25.27,-9.31,0.45,48.66,-3.83,1.6,-2.29,"False         ","False         "
32,"Sam",19,4.964," 04 March 2020 17:00","This is a dummy file name!","2.76E-08","2.23E+00",-1.0803,-4.077,"9.28E-07",24.2443,-24.54,-9.3,0.46,48.41,-2.49,2.32,-2.46,"False         ","False         "
33,"Sam",20,4.966," 04 March 2020 17:09","This is a dummy file name!","4.85E-08","3.92E+00",-1.3681,-4.364,"8.88E-07",23.4525,-26.92,-8.31,0.8,46.12,-2.81,-0.06,-2.83,"False         ","False         "
34,"Sam",21,4.905," 04 March 2020 17:19","This is a dummy file name!","2.25E-08","1.82E+00",-1.2809,-4.277,"8.87E-07",23.5255,-23.36,-9.37,0.38,46.86,-2.69,3.51,-2.47,"False         ","False         "
35,"Sam",22,4.994," 04 March 2020 17:28","This is a dummy file name!","8.10E-08","6.58E+00",2.2445,-0.7622,"9.29E-07",24.2264,-25.71,-8.55,1.33,48,0.8,1.15,-2.89,"False         ","False         "
36,"Sam"," bla",1," 04 March 2020 17:37","This is a dummy file name!","2.32E-10","1.47E-02",-212.6638,-215.0258,"9.20E-11",0.0076,-61.83,-43.57,0.02,0.02,-213.43,-34.96,-36.49,"False         ","False         "
37,"Ref"," BBOT_CN.",0.891," 04 March 2020 17:46","This is a dummy file name!","7.07E-08","5.10E+00",2.4048,-0.6024,"2.49E-07",8.625,-25.85,-6.47,6.51,72.45,0.99,1.02,0.67,"False         ","False         "
38,"Ref"," BBOT_CN.",0.937," 04 March 2020 17:55","This is a dummy file name!","7.45E-08","5.39E+00",2.4326,-0.5747,"2.63E-07",8.9815,-25.87,-6.18,6.52,72.68,1.02,1,1.02,"False         ","False         "
39,"Sam"," BLS",4.775," 04 March 2020 18:05","This is a dummy file name!","1.26E-07","1.03E+01",0.9496,-2.0533,"9.44E-07",24.5843,-27.17,-9.37,2.17,51.25,-0.46,-0.3,-2.11,"False         ","False         "
40,"Sam"," BLS",4.994," 04 March 2020 18:14","This is a dummy file name!","1.32E-07","1.08E+01",0.8555,-2.147,"9.88E-07",25.2974,-27.19,-9.59,2.17,51.29,-0.55,-0.32,-2.26,"False         ","False         "
41,"Sam",25,4.972," 04 March 2020 18:23","This is a dummy file name!","1.18E-07","9.62E+00",1.6017,-1.4031,"9.76E-07",25.1558,-25.9,-8.95,1.95,50.72,0.17,0.96,-2.92,"False         ","False         "
42,"Sam",26,4.964," 04 March 2020 18:32","This is a dummy file name!","3.25E-08","2.63E+00",-0.0002,-3.0002,"9.21E-07",24.1829,-24.31,-9.2,0.54,48.03,-1.42,2.55,-2.56,"False         ","False         "
43,"Sam",27,4.96," 04 March 2020 18:41","This is a dummy file name!","9.15E-08","7.45E+00",1.6618,-1.3432,"9.95E-07",25.5315,-25.79,-9.01,1.51,51.87,0.23,1.07,-2.61,"False         ","False         "
44,"Sam",28,4.936," 04 March 2020 18:51","This is a dummy file name!","2.97E-08","2.41E+00",-1.094,-4.0907,"9.26E-07",24.2011,-24.42,-9.3,0.49,48.53,-2.51,2.44,-2.59,"False         ","False         "
45,"Sam",29,4.863," 04 March 2020 19:00","This is a dummy file name!","4.54E-08","3.68E+00",-1.6693,-4.6643,"9.65E-07",24.8261,-26.07,-9.6,0.77,51.45,-3.06,0.8,-2.15,"False         ","False         "
46,"Sam",30,4.966," 04 March 2020 19:09","This is a dummy file name!","2.39E-08","1.92E+00",-1.592,-4.5872,"9.09E-07",23.8252,-24.68,-9.3,0.39,47.42,-3,2.19,-2.34,"False         ","False         "
47,"Sam",31,4.651," 04 March 2020 19:18","This is a dummy file name!","2.55E-08","2.04E+00",-1.0939,-4.0906,"8.64E-07",22.98,-25.17,-9.35,0.45,48.19,-2.49,1.7,-1.84,"False         ","False         "
48,"Sam",32,4.985," 04 March 2020 19:27","This is a dummy file name!","7.20E-08","5.80E+00",1.2353,-1.7684,"9.26E-07",24.1968,-25.69,-8.64,1.18,47.93,-0.21,1.16,-2.92,"False         ","False         "
49,"Sam",33,4.927," 04 March 2020 19:37","This is a dummy file name!","8.42E-08","6.84E+00",0.5787,-2.4231,"9.61E-07",24.942,-25.31,-8.92,1.4,50.36,-0.86,1.55,-3.01,"False         ","False         "
50,"Sam",34,4.942," 04 March 2020 19:46","This is a dummy file name!","4.01E-08","3.24E+00",-1.0865,-4.0832,"9.73E-07",25.1256,-25.85,-9.5,0.67,50.97,-2.5,1.02,-2.73,"False         ","False         "
51,"Sam"," bla",1," 04 March 2020 19:55","This is a dummy file name!","2.29E-10","1.46E-02",-195.0772,-197.492,"4.68E-11",0.0048,-89.03,-72.77,0.02,0.01,-195.88,-62.15,-64.77,"False         ","False         "
52,"Ref"," BBOT_CN.",0.953," 04 March 2020 20:04","This is a dummy file name!","7.57E-08","5.45E+00",2.4793,-0.5282,"2.66E-07",9.0805,-25.89,-7.17,6.53,72.66,1.09,0.98,0.9,"False         ","False         "
53,"Ref"," BBOT_CN.",0.904," 04 March 2020 20:13","This is a dummy file name!","7.15E-08","5.17E+00",2.3498,-0.6573,"2.52E-07",8.6652,-25.88,-6.48,6.5,72.41,0.96,1,1.65,"False         ","False         "
54,"Sam"," bla",1," 04 March 2020 20:23","This is a dummy file name!","3.08E-10","1.76E-02",-57.7601,-60.5868,"4.84E-11",0.0049,-95.83,-102.93,0.03,0.01,-58.97,-68.96,-94.74,"False         ","False         "
55,"Sam"," IAEA 600",1," 05 March 2020 08:30","This is a dummy file name!","3.60E-07","2.51E+01",4.0667,1.0545,"1.85E-07",6.5975,-27.6,-3.94,29.35,47.54,2.6,-0.75,0.98,"False         ","False         "
56,"Sam"," bla",1," 05 March 2020 09:11","This is a dummy file name!","8.56E-10","4.82E-02",5.6329,2.616,"9.90E-11",0.008,-68.38,-48.37,0.07,0.03,4.16,-41.53,-43.45,"False         ","False         "
57,"Sam"," WFS",5.043," 05 March 2020 09:20","This is a dummy file name!","8.76E-08","7.04E+00",6.2792,3.2604,"8.20E-07",21.8882,-26.92,-8.42,1.42,41.86,4.81,-0.07,-3.44,"False         ","False         "
58,"Sam"," bla",1," 05 March 2020 09:29","This is a dummy file name!","2.38E-10","1.52E-02",-127.53,-130.1474,"5.14E-11",0.005,-76.59,-89.69,0.02,0.01,-128.6,-49.74,-84.65,"False         ","False         "
