"","","","","","Na","","Mg","","Al","","Si","","P","","S","","Cl","","K","","Ca","","Ti","","Cr","","Mn","","Fe","","Cu","","Zn","","As","","Br","","Rb","","Sr","","Ba","","Pb","","C6H10O5N"
"","","","","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","mass%","","mass%","","ppm","","ppm","","ppm","","mass%","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm"
1,"Plants_actual","2020- 3-11 13:54",0,0,158,,281,,1914,,6857,,259.5,,2147,,304.7,,0.0378,,0.084,,838.4,,4.06,,28.9,,0.0576,,11.4,,126.7,,13925.61,"H",173.7,"H",3.3,,11.4,,47.7,,2465.21,"H",968647, ""
2,"Plants_actual","2020- 3-11 10:15",0,0,204,,315,,1950,,8058,,287.6,,4652,,137.9,,0.0513,,0.0957,,561,,5.76,,29.4,,0.0705,,21.4,,150.9,"H",8328.6,"H",65.2,"H",3.7,,10.7,,51.1,,1658.73,"H",971335, ""
3,"Plants_actual","2020- 3-11 10:37",0,0,367,,1022,,392,,1443,,337.5,,988,,538.4,,0.1947,,0.5236,,56.3,,3.58,,269.4,,0.0512,,8.2,,129.8,,55.57,"H",5.5,,7.7,,8.1,,74.1,,83.17,,986516, ""
4,"Plants_actual","2020- 3-11 10:59",0,0,277,,465,,2436,,6834,,294.5,,3753,,173.8,,0.0567,,0.1757,,648.5,,7.29,,36.7,,0.1219,,31.8,,196.7,"H",25540.49,"H",98.4,"H",3.2,,14.9,,67.1,,3850.32,"H",951727, ""
5,"Plants_actual","2020- 3-11 11:21",0,0,116,,710,,529,,1457,,131.1,,868,,0,,0.0083,,0.11,,152.7,,3.41,,27.1,,0.0614,,3.1,,153.9,"H",944.68,"H",15.4,,1.7,,10.1,,40.8,,412.03,"H",992627, ""
6,"Plants_actual","2020- 3-11 11:43",0,0,106,,698,,767,,1891,,156.9,,1051,,40.5,,0.0108,,0.1227,,181.6,,3.94,,26.3,,0.0625,,1.8,,167.6,"H",530.8,"H",52,,2.7,,13.8,,45.7,,291.21,"H",992013, ""
7,"Plants_actual","2020- 3-11 12:04",0,0,269,,299,,2419,,14823,,315.9,,3931,,169.4,,0.0694,,0.0696,,921.4,,4.31,,28.5,,0.0702,,12.3,,124.5,,10676.79,"H",118.3,"H",5.3,,12.4,,48.6,,1982.29,"H",961748, ""
8,"Plants_actual","2020- 3-11 12:26",0,0,120,,642,,535,,904,,138.6,,1064,,0,,0.006,,0.1198,,65.9,,2.53,,29.8,,0.0668,,4.7,,172.7,"H",4242.38,"H",12.5,,0.9,,9.8,,41.9,,1061.78,"H",989025, ""
9,"Plants_actual","2020- 3-11 12:48",0,0,236,,576,,1146,,3369,,494.7,,1568,,316.7,,0.0789,,0.2792,,209.9,,6.12,,79.4,,0.4498,,11.7,,191.2,"H",581.23,"H",72.2,"H",5.6,,13.1,,68.7,,293.66,"H",982682, ""
10,"Plants_actual","2020- 3-11 13:10",0,0,131,,606,,682,,1013,,166.3,,1187,,0,,0.0072,,0.1183,,125.4,,4.64,,30.1,,0.0758,,8.5,,191.9,"H",16308.56,"H",20.8,,1,,11.9,,43.8,,2753.01,"H",974702, ""
