,,,,,"Na",,"Mg",,"Al",,"Si",,"P",,"S",,"Cl",,"K",,"Ca",,"Ti",,"Cr",,"Mn",,"Fe",,"Cu",,"Zn",,"As",,"Br",,"Rb",,"Sr",,"Ba",,"Pb",,"C6H10O5N"
,,,,,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"mass%",,"mass%",,"ppm",,"ppm",,"ppm",,"mass%",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm",,"ppm"
18,"Plants_actual","2020- 4- 1 10:28",0,0,127,,792,,344,,879,,135.2,,803,,0,,0.0071,,0.0841,,123.2,,3.62,,20.2,,0.0426,,3.7,,48.4,,0.74,,47.2,,2.7,,9.4,,40.8,,12.12,,995270, ""
19,"Plants_actual","2020- 4- 1 10:50",0,0,106,,916,,309,,769,,124.9,,580,,0,,0.006,,0.1018,,77.5,,3.09,,21.6,,0.0485,,1.7,,86.2,,8.64,"H",53.3,,2,,10.4,,43,,32.06,,995293, ""
20,"Plants_actual","2020- 4- 1 11:12",0,0,123,,901,,214,,474,,107.2,,547,,0,,0.0047,,0.0825,,40,,3.83,,19.4,,0.0443,,3.5,,34.9,,0,,44.7,,2.3,,9.5,,43.2,,6.58,,996111, ""
21,"Plants_actual","2020- 4- 1 11:34",0,0,132,,917,,254,,468,,114.5,,675,,0,,0.0051,,0.1,,56.6,,3.41,,20,,0.0468,,0.5,,69.5,,1.54,,41.9,,1.4,,11.6,,37.7,,10.13,,995666, ""
22,"Plants_actual","2020- 4- 1 11:56",0,0,138,,799,,760,,1897,,147.3,,952,,29.3,,0.0107,,0.1283,,279.3,,3.79,,29.3,,0.0519,,3.3,,118.8,,0.7,,82.5,"H",3.4,,12.6,,45.7,,6.48,,992783, ""
23,"Plants_actual","2020- 4- 1 12:18",0,0,92,,753,,310,,526,,124.9,,672,,0,,0.0042,,0.0916,,57.4,,4.02,,22,,0.0451,,2.8,,102,,5.71,"H",37.9,,2.7,,7.7,,46.1,,28.54,,995795, ""
24,"Plants_actual","2020- 4- 1 12:40",0,0,132,,964,,243,,478,,120.2,,592,,0,,0.0046,,0.0951,,47.6,,3.37,,21.4,,0.0468,,2.8,,79.7,,2.21,"H",56.4,,2.8,,10.2,,41.1,,16.59,,995723, ""
25,"Plants_actual","2020- 4- 1 13:01",0,0,127,,827,,182,,391,,117.8,,545,,0,,0.0058,,0.0922,,31.4,,3.52,,21.2,,0.0451,,2.1,,20.4,,1.41,,28.6,,2.2,,9.5,,50.8,,17.56,,996190, ""
26,"Plants_actual","2020- 4- 1 13:23",0,0,127,,853,,369,,763,,126.7,,680,,0,,0.0056,,0.1126,,77.3,,3.71,,21.7,,0.0504,,2.5,,130.3,,16.34,"H",36.3,,2.4,,10.8,,38.1,,43.18,,995014, ""
27,"Plants_actual","2020- 4- 1 13:45",0,0,106,,867,,371,,940,,118.5,,582,,0,,0.0063,,0.1083,,83.4,,3.71,,22.2,,0.0485,,1.3,,99.2,,1.29,,45.1,,2.6,,10,,44.7,,11.38,,995060, ""
