"","","","","","Na","","Mg","","Al","","Si","","P","","S","","Cl","","K","","Ca","","Ti","","Cr","","Mn","","Fe","","Cu","","Zn","","As","","Br","","Rb","","Sr","","Ba","","Pb","","C6H10O5N"
"","","","","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","mass%","","mass%","","ppm","","ppm","","ppm","","mass%","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm","","ppm"
"c_1_250","Plants_actual","2020- 6-16 12:35","0.0","0.0","253","","543","","1089","","1629","","180.6","","491","","0.0","","0.0286","","0.2464","","164.5","","3.42","","27.2","","0.1015","","21.9","","38.5","","4.28","H","4.7","","3.1","","9.5","","42.9","","22.58","","991707",""
"c_2_250","Plants_actual","2020- 6-16 14:13","0.0","0.0","107","","401","","1940","","3184","","344.3","","881","","0.0","","0.0321","","0.1709","","474.7","","4.83","","25.9","","0.0972","","26.3","","37.3","","3.89","H","16.5","","3.1","","10.6","","53.1","","23.28","","989461",""
"c_3_250","Plants_actual","2020- 6-16 15:51","0.0","0.0","104","","349","","1771","","2964","","326.4","","1007","","0.0","","0.0282","","0.1678","","448.4","","4.62","","37.2","","0.0873","","26.4","","45.9","","22.95","H","37.8","","3.1","","13.0","","48.3","","51.11","","989906",""
"c_4_250","Plants_actual","2020- 6-16 17:29","0.0","0.0","96","","565","","667","","525","","155.6","","648","","0.0","","0.0080","","0.3209","","56.3","","3.04","","66.3","","0.0985","","23.0","","38.5","","2.34","H","5.3","","2.1","","35.6","","57.0","","18.30","","992761",""
"c_5_250","Plants_actual","2020- 6-16 19:07","0.0","0.0","119","","679","","5957","H","6633","","350.7","","1906","","0.0","","0.0821","","0.2525","","958.2","","8.53","","69.0","","0.3225","","29.4","","33.6","","5.14","H","30.7","","6.9","","61.5","","108.1","H","23.65","","976449",""
"c_1_300","Plants_actual","2020- 6-16 20:45","0.0","0.0","246","","541","","1160","","1769","","190.4","","535","","0.0","","0.0298","","0.2546","","169.8","","4.74","","26.3","","0.1068","","12.2","","29.9","","3.25","H","5.6","","2.9","","10.5","","42.1","","22.35","","991318",""
"c_2_300","Plants_actual","2020- 6-16 22:23","0.0","0.0","118","","387","","2082","","3698","","363.6","","936","","0.0","","0.0340","","0.1615","","552.4","","6.26","","25.4","","0.0955","","13.0","","23.8","","4.11","H","19.0","","3.5","","10.8","","50.8","","22.51","","988774",""
"c_3_300","Plants_actual","2020- 6-17 00:02","0.0","0.0","98","","352","","1804","","3072","","332.3","","1024","","0.0","","0.0279","","0.1679","","466.5","","4.60","","36.3","","0.0829","","13.1","","30.9","","19.91","H","19.6","","3.1","","13.8","","48.5","","52.05","","989822",""
"c_4_300","Plants_actual","2020- 6-17 01:40","0.0","0.0","80","","589","","702","","576","","161.8","","683","","0.0","","0.0087","","0.3303","","52.5","","3.26","","67.0","","0.1003","","13.0","","28.5","","1.98","","5.6","","2.4","","38.9","","58.7","","17.33","","992527",""
"c_5_300","Plants_actual","2020- 6-17 03:18","0.0","0.0","128","","676","","6197","H","6953","","358.9","","1933","","0.0","","0.0848","","0.2529","","1002.6","","5.91","","68.7","","0.3351","","25.1","","28.3","","7.01","H","37.5","","7.6","","72.7","","108.6","H","27.40","","975635",""
"c_1_500","Plants_actual","2020- 6-24 02:04","0.0","0.0","277","","533","","1368","","2363","","179.0","","526","","0.0","","0.0337","","0.2515","","174.4","","3.96","","26.2","","0.1052","","3.3","","19.7","","3.53","H","7.4","","3.1","","11.6","","44.1","","21.28","","990532",""
"c_2_500","Plants_actual","2020- 6-24 03:42","0.0","0.0","117","","390","","2197","","3958","","375.6","","948","","0.0","","0.0349","","0.1635","","561.3","","5.45","","25.5","","0.1001","","4.2","","12.4","","3.93","H","25.8","","3.7","","13.9","","54.4","","21.81","","988298",""
"c_3_500","Plants_actual","2020- 6-24 05:21","0.0","0.0","112","","342","","1951","","3497","","343.8","","1065","","0.0","","0.0301","","0.1649","","494.9","","4.55","","36.0","","0.0860","","4.7","","21.2","","20.67","H","24.7","","3.6","","15.5","","52.3","","52.40","","989148",""
"c_4_500","Plants_actual","2020- 6-24 06:59","0.0","0.0","90","","591","","809","","826","","160.7","","667","","0.0","","0.0104","","0.3313","","57.5","","4.09","","67.8","","0.1007","","1.9","","16.3","","1.84","","6.9","","2.6","","45.7","","58.9","","16.38","","992153",""
"c_5_500","Plants_actual","2020- 6-24 08:37","0.0","0.0","119","","671","","5999","H","6663","","346.2","","1913","","0.0","","0.0794","","0.2557","","935.2","","8.30","","68.5","","0.3309","","14.7","","15.9","","4.32","H","44.6","","8.3","","79.2","","113.6","H","22.14","","976316",""
"c_1_200","Plants_actual","2020- 6-25 01:38","0.0","0.0","248","","545","","1141","","1724","","188.7","","524","","0.0","","0.0299","","0.2513","","181.2","","3.86","","26.6","","0.1026","","2.4","","17.4","","2.53","H","4.7","","2.2","","7.5","","46.4","","16.75","","991479",""
"c_2_200","Plants_actual","2020- 6-25 03:17","0.0","0.0","115","","404","","2069","","3544","","365.0","","916","","0.0","","0.0335","","0.1681","","508.6","","5.55","","25.9","","0.1004","","4.2","","11.4","","2.56","H","15.8","","3.1","","9.7","","56.5","","18.93","","988905",""
"c_3_200","Plants_actual","2020- 6-25 04:55","0.0","0.0","104","","352","","1902","","3353","","337.7","","1060","","0.0","","0.0299","","0.1623","","498.4","","4.41","","38.1","","0.0864","","47.6","H","62.5","","20.80","H","16.5","","3.0","","10.4","","48.6","","47.24","","989308",""
"c_4_200","Plants_actual","2020- 6-25 06:33","0.0","0.0","103","","581","","780","","838","","159.7","","658","","0.0","","0.0103","","0.3300","","63.1","","4.67","","70.1","","0.1016","","52.2","H","66.2","","3.71","H","3.8","","2.1","","31.8","","53.5","","20.12","","992091",""
"c_5_200","Plants_actual","2020- 6-25 08:11","0.0","0.0","122","","692","","6376","H","7274","","351.9","","1900","","0.0","","0.0879","","0.2531","","1018.2","","8.26","","69.4","","0.3274","","41.7","H","45.9","","5.82","H","27.2","","6.5","","55.6","","111.0","H","21.66","","975188",""
"Number","","","","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20","","20"
"Average","","","","","138","","509","","2398","","3252","","278.6","","1011","","0.0","","0.0372","","0.2329","","441.9","","5.12","","45.2","","0.1434","","19.0","","31.2","","7.23","","18.0","","3.8","","27.9","","62.9","","26.96","","987589"
"Maximum","","","","","277","","692","","6376","","7274","","375.6","","1933","","0.0","","0.0879","","0.3313","","1018.2","","8.53","","70.1","","0.3351","","52.2","","66.2","","22.95","","44.6","","8.3","","79.2","","113.6","","52.40","","992761"
"Minimum","","","","","80","","342","","667","","525","","155.6","","491","","0.0","","0.0080","","0.1615","","52.5","","3.04","","25.4","","0.0829","","1.9","","11.4","","1.84","","3.8","","2.1","","7.5","","42.1","","16.38","","975188"
"Range","","","","","197","","350","","5710","","6749","","220.0","","1442","","0.0","","0.0799","","0.1699","","965.7","","5.49","","44.7","","0.2522","","50.3","","54.8","","21.11","","40.8","","6.2","","71.6","","71.5","","36.02","","17573"
"Std dev.","","","","","62.1","","124.9","","1979.5","","2154.3","","90.36","","499.8","","0.00","","0.02541","","0.06300","","330.65","","1.626","","19.85","","0.09542","","15.12","","15.36","","7.235","","12.78","","1.89","","23.36","","24.83","","12.486","","6145.8"
"RSD(%)","","","","","45.07","","24.54","","82.55","","66.24","","32.43","","49.43","","0.00","","68.28","","27.05","","74.82","","31.77","","43.94","","66.52","","79.54","","49.21","","100.09","","71.04","","49.49","","83.77","","39.50","","46.31","","0.62"
