"sample_id","method_name","time","Na","Na_flag","Mg","Mg_flag","Al","Al_flag","Si","Si_flag","P","P_flag","S","S_flag","Cl","Cl_flag","K","K_flag","Ca","Ca_flag","Ti","Ti_flag","Cr","Cr_flag","Mn","Mn_flag","Fe","Fe_flag","Cu","Cu_flag","Zn","Zn_flag","As","As_flag","Br","Br_flag","Rb","Rb_flag","Sr","Sr_flag","Ba","Ba_flag","Pb","Pb_flag","C6H10O5N","C6H10O5N_flag"
"1","Plants_actual",2020-03-11 13:54:00,158,FALSE,281,FALSE,1914,FALSE,6857,FALSE,259.5,FALSE,2147,FALSE,304.7,FALSE,0.000378,FALSE,0.00084,FALSE,838.4,FALSE,4.06,FALSE,28.9,FALSE,0.000576,FALSE,11.4,FALSE,126.7,FALSE,13925.61,TRUE,173.7,TRUE,3.3,FALSE,11.4,FALSE,47.7,FALSE,2465.21,TRUE,968647,FALSE
"2","Plants_actual",2020-03-11 10:15:00,204,FALSE,315,FALSE,1950,FALSE,8058,FALSE,287.6,FALSE,4652,FALSE,137.9,FALSE,0.000513,FALSE,0.000957,FALSE,561,FALSE,5.76,FALSE,29.4,FALSE,0.000705,FALSE,21.4,FALSE,150.9,TRUE,8328.6,TRUE,65.2,TRUE,3.7,FALSE,10.7,FALSE,51.1,FALSE,1658.73,TRUE,971335,FALSE
"3","Plants_actual",2020-03-11 10:37:00,367,FALSE,1022,FALSE,392,FALSE,1443,FALSE,337.5,FALSE,988,FALSE,538.4,FALSE,0.001947,FALSE,0.005236,FALSE,56.3,FALSE,3.58,FALSE,269.4,FALSE,0.000512,FALSE,8.2,FALSE,129.8,FALSE,55.57,TRUE,5.5,FALSE,7.7,FALSE,8.1,FALSE,74.1,FALSE,83.17,FALSE,986516,FALSE
"4","Plants_actual",2020-03-11 10:59:00,277,FALSE,465,FALSE,2436,FALSE,6834,FALSE,294.5,FALSE,3753,FALSE,173.8,FALSE,0.000567,FALSE,0.001757,FALSE,648.5,FALSE,7.29,FALSE,36.7,FALSE,0.001219,FALSE,31.8,FALSE,196.7,TRUE,25540.49,TRUE,98.4,TRUE,3.2,FALSE,14.9,FALSE,67.1,FALSE,3850.32,TRUE,951727,FALSE
"5","Plants_actual",2020-03-11 11:21:00,116,FALSE,710,FALSE,529,FALSE,1457,FALSE,131.1,FALSE,868,FALSE,0,FALSE,8.3e-05,FALSE,0.0011,FALSE,152.7,FALSE,3.41,FALSE,27.1,FALSE,0.000614,FALSE,3.1,FALSE,153.9,TRUE,944.68,TRUE,15.4,FALSE,1.7,FALSE,10.1,FALSE,40.8,FALSE,412.03,TRUE,992627,FALSE
"6","Plants_actual",2020-03-11 11:43:00,106,FALSE,698,FALSE,767,FALSE,1891,FALSE,156.9,FALSE,1051,FALSE,40.5,FALSE,0.000108,FALSE,0.001227,FALSE,181.6,FALSE,3.94,FALSE,26.3,FALSE,0.000625,FALSE,1.8,FALSE,167.6,TRUE,530.8,TRUE,52,FALSE,2.7,FALSE,13.8,FALSE,45.7,FALSE,291.21,TRUE,992013,FALSE
"7","Plants_actual",2020-03-11 12:04:00,269,FALSE,299,FALSE,2419,FALSE,14823,FALSE,315.9,FALSE,3931,FALSE,169.4,FALSE,0.000694,FALSE,0.000696,FALSE,921.4,FALSE,4.31,FALSE,28.5,FALSE,0.000702,FALSE,12.3,FALSE,124.5,FALSE,10676.79,TRUE,118.3,TRUE,5.3,FALSE,12.4,FALSE,48.6,FALSE,1982.29,TRUE,961748,FALSE
"8","Plants_actual",2020-03-11 12:26:00,120,FALSE,642,FALSE,535,FALSE,904,FALSE,138.6,FALSE,1064,FALSE,0,FALSE,6e-05,FALSE,0.001198,FALSE,65.9,FALSE,2.53,FALSE,29.8,FALSE,0.000668,FALSE,4.7,FALSE,172.7,TRUE,4242.38,TRUE,12.5,FALSE,0.9,FALSE,9.8,FALSE,41.9,FALSE,1061.78,TRUE,989025,FALSE
"9","Plants_actual",2020-03-11 12:48:00,236,FALSE,576,FALSE,1146,FALSE,3369,FALSE,494.7,FALSE,1568,FALSE,316.7,FALSE,0.000789,FALSE,0.002792,FALSE,209.9,FALSE,6.12,FALSE,79.4,FALSE,0.004498,FALSE,11.7,FALSE,191.2,TRUE,581.23,TRUE,72.2,TRUE,5.6,FALSE,13.1,FALSE,68.7,FALSE,293.66,TRUE,982682,FALSE
"10","Plants_actual",2020-03-11 13:10:00,131,FALSE,606,FALSE,682,FALSE,1013,FALSE,166.3,FALSE,1187,FALSE,0,FALSE,7.2e-05,FALSE,0.001183,FALSE,125.4,FALSE,4.64,FALSE,30.1,FALSE,0.000758,FALSE,8.5,FALSE,191.9,TRUE,16308.56,TRUE,20.8,FALSE,1,FALSE,11.9,FALSE,43.8,FALSE,2753.01,TRUE,974702,FALSE
"11","Plants_actual",2020-03-11 13:32:00,211,FALSE,439,FALSE,2068,FALSE,5654,FALSE,271.3,FALSE,3882,FALSE,53.4,FALSE,0.000469,FALSE,0.001644,FALSE,504.2,FALSE,5.98,FALSE,35.8,FALSE,0.00114,FALSE,34.8,FALSE,214.2,TRUE,22395.38,TRUE,112.3,TRUE,3.2,FALSE,14.8,FALSE,58.9,FALSE,3431.11,TRUE,957359,FALSE
"12","Plants_actual",2020-03-11 14:16:00,302,FALSE,265,FALSE,2301,FALSE,11562,FALSE,295.1,FALSE,2889,FALSE,337.9,FALSE,0.000557,FALSE,0.000648,FALSE,885.1,FALSE,5.31,FALSE,28.6,FALSE,0.000587,FALSE,10.5,FALSE,111.4,FALSE,16862.14,TRUE,244.8,TRUE,4.7,FALSE,10.5,FALSE,43.8,FALSE,2802.41,TRUE,959246,FALSE
"13","Plants_actual",2020-03-11 14:37:00,197,FALSE,403,FALSE,1728,FALSE,5293,FALSE,242.8,FALSE,1827,FALSE,226.4,FALSE,0.000292,FALSE,0.001125,FALSE,535.6,FALSE,3.89,FALSE,30.5,FALSE,0.000625,FALSE,11.6,FALSE,154.5,TRUE,12359.57,TRUE,101.8,TRUE,3.1,FALSE,11.4,FALSE,49.7,FALSE,2239.01,TRUE,972541,FALSE
